status,+linear_reference_km,event_type,event_subtypes,severity,schedule.intervals,schedule.recurring_schedules,created_year,created_month,created_day,updated_year,updated_month,updated_day,computed_duration,Predicted Duration
0.0,2.9042557898385093,0.8164965809277261,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-1.075769254954034,-0.2865835027022923,-0.33333333333303017,-0.4291975376394762,-0.14917482812564042,0.49857498020490015,375.845
-1.0,3.1266788406473394,-1.2247448713915892,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,0.2281934783235827,-1.7818017776707737,-0.33333333333303017,0.18394180184548964,-3.1326713906384467,0.33891487009561627,347.235
-1.0,0.7979495914728962,0.8164965809277261,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,0.48795003647426655,-2.3797319882316508,0.3364241118679082,-0.33333333333303017,-1.9620458863518908,-2.946202855481396,-0.5126057171538978,364.235
0.0,0.5015571748336446,-1.2247448713915892,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,0.8801748449623911,1.7070408639223495,-0.33333333333303017,-1.0423368771244421,-2.7597343203243456,-0.16425638600636935,358.67
0.0,-0.46147909377505336,-1.2247448713915892,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,0.48795003647426655,-2.3797319882316508,-0.7849895943584528,-0.33333333333303017,0.18394180184548964,0.7831678476596114,0.07523377915755648,371.69
0.0,0.5488593152900949,-1.2247448713915892,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,0.48795003647426655,-2.705722671551055,0.7102286806100285,-0.33333333333303017,-2.5751852258368566,1.9019790586019136,-0.5295393651957916,384.02
-1.0,2.0464539099124743,0.8164965809277261,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,0.48795003647426655,-2.705722671551055,1.9562439097504296,-0.33333333333303017,-1.0423368771244421,-1.454454574224993,-0.22957188559653094,430.295
-1.0,0.6848437735074335,-1.2247448713915892,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,0.48795003647426655,-2.705722671551055,1.4578378180942693,3.0000000000003033,-2.2686155560943737,-2.5732657851672953,0.3582676107149234,508.465
-1.0,1.981385879999985,-1.2247448713915892,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-1.7277506215928424,-0.6603880714444127,-0.33333333333303017,-2.2686155560943737,-2.386797250010245,0.18167385256374574,355.665
-1.0,1.9531370122934895,0.8164965809277261,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-0.7497785716346298,0.7102286806100285,-0.33333333333303017,0.18394180184548964,-0.14917482812564042,0.5517950169079948,391.37
0.0,2.1192830219682843,0.8164965809277261,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-0.4237878883152256,-0.6603880714444127,-0.33333333333303017,-1.348906546866925,-2.946202855481396,0.09700561235427702,288.965
-1.0,0.01856774533624888,-1.2247448713915892,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-0.09779720499582148,0.46102563478194836,3.0000000000003033,-2.2686155560943737,-1.2679860390679427,0.6896832938205582,449.38
-1.0,0.6843288201898672,0.8164965809277261,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-0.4237878883152256,0.8348302035240687,-0.33333333333303017,-0.4291975376394762,-0.7085804335967916,0.3219812220537225,364.81
-1.0,2.137196040943628,-1.2247448713915892,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-1.7277506215928424,0.9594317264381088,-0.33333333333303017,0.7970811413304555,2.088447593758964,0.9436880144489644,566.285
0.0,0.5523904237534071,0.8164965809277261,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-1.075769254954034,-1.5325987318426935,-0.33333333333303017,-1.9620458863518908,1.529041988287813,0.17199748225409217,386.17
-1.0,2.0291294090143497,0.8164965809277261,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-2.0537413049122466,-0.16198197978825224,-3.6666666666663636,-1.655476216609408,0.7831678476596114,-0.452128402718563,377.83
0.0,1.6667126205871288,0.8164965809277261,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,0.5541841616429869,0.3364241118679082,-0.33333333333303017,-1.0423368771244421,-1.0815175039108924,-0.045720849713113125,296.5
-1.0,2.3449429222018177,-1.2247448713915892,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-1.7277506215928424,0.3364241118679082,-0.33333333333303017,0.4905114715879726,-2.5732657851672953,0.8251524781557081,504.565
-1.0,2.229262337648523,-1.2247448713915892,-2.5495097567963927,1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-0.7497785716346298,1.333236295180229,-0.33333333333303017,-1.0423368771244421,-0.895048968753842,0.23731298184425378,390.365
-1.0,1.1781322693561558,0.8164965809277261,-2.5495097567963927,-1.0,-2.095139706465989,-3.333974297349129,-0.48795003647426655,-1.4017599382734383,-0.9095911172724929,-3.6666666666663636,-0.12262786789699329,1.1561049179737122,-0.20780005239981042,369.26
